species	matrix_row	matrix_column	cluster_family	cluster	hox_number	slot	expected_status	inventory_reference
human	human	A	A	A	1	Hox1	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	2	Hox2	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	3	Hox3	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	5	Hox5	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	6	Hox6	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	7	Hox7	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	10	Hox10	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	11	Hox11	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	A	A	A	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	1	Hox1	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	2	Hox2	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	3	Hox3	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	5	Hox5	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	6	Hox6	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	7	Hox7	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	8	Hox8	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	B	B	B	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	5	Hox5	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	6	Hox6	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	8	Hox8	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	10	Hox10	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	11	Hox11	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	12	Hox12	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	C	C	C	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	1	Hox1	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	3	Hox3	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	8	Hox8	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	10	Hox10	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	11	Hox11	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	12	Hox12	expected_functional_member	Ensembl_116_curated_39_gene_complement
human	human	D	D	D	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	1	Hox1	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	2	Hox2	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	3	Hox3	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	5	Hox5	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	6	Hox6	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	7	Hox7	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	10	Hox10	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	11	Hox11	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	A	A	A	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	1	Hox1	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	2	Hox2	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	3	Hox3	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	5	Hox5	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	6	Hox6	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	7	Hox7	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	8	Hox8	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	B	B	B	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	5	Hox5	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	6	Hox6	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	8	Hox8	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	10	Hox10	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	11	Hox11	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	12	Hox12	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	C	C	C	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	1	Hox1	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	3	Hox3	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	4	Hox4	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	8	Hox8	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	9	Hox9	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	10	Hox10	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	11	Hox11	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	12	Hox12	expected_functional_member	Ensembl_116_curated_39_gene_complement
mouse	mouse	D	D	D	13	Hox13	expected_functional_member	Ensembl_116_curated_39_gene_complement
chicken	chicken	A	A	A	1	Hox1	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	2	Hox2	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	3	Hox3	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	4	Hox4	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	5	Hox5	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	6	Hox6	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	7	Hox7	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	9	Hox9	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	10	Hox10	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	11	Hox11	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	A	A	A	13	Hox13	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	1	Hox1	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	2	Hox2	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	3	Hox3	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	4	Hox4	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	5	Hox5	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	6	Hox6	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	7	Hox7	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	8	Hox8	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	9	Hox9	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	B	B	B	13	Hox13	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	4	Hox4	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	5	Hox5	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	6	Hox6	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	8	Hox8	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	9	Hox9	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	10	Hox10	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	11	Hox11	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	12	Hox12	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	C	C	C	13	Hox13	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	1	Hox1	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	3	Hox3	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	4	Hox4	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	8	Hox8	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	9	Hox9	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	10	Hox10	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	11	Hox11	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	12	Hox12	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
chicken	chicken	D	D	D	13	Hox13	expected_functional_member	published_avian_39_gene_complement_and_Ensembl_116_locus_audit
gar	gar	A	A	A	1	Hox1	expected_functional_member	Braasch_et_al_2016_Supplementary_Figure_12_43_protein_coding_genes
gar	gar	A	A	A	2	Hox2	expected_functional_member	Braasch_et_al_2016_Supplementary_Figure_12_43_protein_coding_genes
gar	gar	A	A	A	3	Hox3	expected_functional_member	Braasch_et_al_2016_Supplementary_Figure_12_43_protein_coding_genes
gar	gar	A	A	A	4	Hox4	expected_functional_member	Braasch_et_al_2016_Supplementary_Figure_12_43_protein_coding_genes
gar	gar	A	A	A	5	Hox5	expected_functional_member	Braasch_et_al_2016_Supplementary_Figure_12_43_protein_coding_genes
gar	gar	A	A	A	6	Hox6	expected_functional_member	Braasch_et_al_2016_Supplementary_Figure_12_43_protein_coding_genes
gar	gar	A	A	A	7	Hox7	expected_functional_member	Braasch_et_al_2016_Supplementary_Figure_12_43_protein_coding_genes
