species	display_name	scientific_name	assembly	ensembl_species	gene_id	gene_symbol	seqname	transcript_id	transcript_name	biotype	is_canonical	transcript_start	transcript_end	strand	exon_count	exon_signature	span_fraction	eligible	selection_order	selection_reason
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000428726	CD44-208	protein_coding	1	35139171	35232402	1	18	ENSE00003896435|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710505|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752	0.9951965158728464	TRUE	1	RefSeq-backed Ensembl canonical transcript (NM_000610)
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000263398	CD44-201	protein_coding	0	35138721	35232402	1	9	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752	1	TRUE	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000434472	CD44-210	protein_coding	0	35138721	35232402	1	10	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752	1	TRUE	3	RefSeq-backed intermediate CD44 splice isoform (NM_001202555)
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000904013	CD44-242	protein_coding	0	35138721	35232402	1	18	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710505|ENSE00003678600|ENSE00003692209|ENSE00004366172|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752	1	TRUE	4	RefSeq-backed expanded CD44 splice isoform (NM_001440324/NM_001440326)
mouse	Mouse	Mus musculus	GRCm39	mus_musculus	ENSMUSG00000005087	Cd44	2	ENSMUST00000005218	Cd44-201	protein_coding	1	102641486	102732010	-1	19	ENSMUSE00002199113|ENSMUSE00001268849|ENSMUSE00001292286|ENSMUSE00001251397|ENSMUSE00000429126|ENSMUSE00000166708|ENSMUSE00000166710|ENSMUSE00000166719|ENSMUSE00000166716|ENSMUSE00000166711|ENSMUSE00000429059|ENSMUSE00000429052|ENSMUSE00000429046|ENSMUSE00000429038|ENSMUSE00000429028|ENSMUSE00000429020|ENSMUSE00000429014|ENSMUSE00000428727|ENSMUSE00000494459	1	TRUE	1	RefSeq-backed Ensembl canonical transcript (NM_009851)
mouse	Mouse	Mus musculus	GRCm39	mus_musculus	ENSMUSG00000005087	Cd44	2	ENSMUST00000099673	Cd44-203	protein_coding	0	102641486	102732010	-1	9	ENSMUSE00002199113|ENSMUSE00001268849|ENSMUSE00001292286|ENSMUSE00001251397|ENSMUSE00000429126|ENSMUSE00000429020|ENSMUSE00000429014|ENSMUSE00000428727|ENSMUSE00000494459	1	TRUE	2	RefSeq-backed shorter Cd44 splice isoform (NM_001039151)
mouse	Mouse	Mus musculus	GRCm39	mus_musculus	ENSMUSG00000005087	Cd44	2	ENSMUST00000111190	Cd44-204	protein_coding	0	102641486	102732010	-1	11	ENSMUSE00002199113|ENSMUSE00001268849|ENSMUSE00001292286|ENSMUSE00001251397|ENSMUSE00000429126|ENSMUSE00000429038|ENSMUSE00000429028|ENSMUSE00000429020|ENSMUSE00000429014|ENSMUSE00000428727|ENSMUSE00000494459	1	TRUE	3	RefSeq-backed intermediate Cd44 splice isoform (NM_001177787)
mouse	Mouse	Mus musculus	GRCm39	mus_musculus	ENSMUSG00000005087	Cd44	2	ENSMUST00000111198	Cd44-208	protein_coding	0	102641486	102732010	-1	16	ENSMUSE00002199113|ENSMUSE00001268849|ENSMUSE00001292286|ENSMUSE00001251397|ENSMUSE00000429126|ENSMUSE00000166716|ENSMUSE00000166711|ENSMUSE00000429059|ENSMUSE00000429052|ENSMUSE00000429046|ENSMUSE00000429038|ENSMUSE00000429028|ENSMUSE00000429020|ENSMUSE00000429014|ENSMUSE00000428727|ENSMUSE00000494459	1	TRUE	4	RefSeq-backed expanded Cd44 splice isoform (NM_001177785)
