link_group	strand	human_exon_id	human_exon_index	human_start	human_end	human_overlap_bp	mouse_exon_id	mouse_exon_index	mouse_start	mouse_end	mouse_overlap_bp	link_identity	min_overlap_bp
lastz_1	-	ENSE00004802753	1	35138721	35139370	650	ENSMUSE00002199113	19	102731613	102732010	398	56.099	398
lastz_1	-	ENSE00003896435	2	35139171	35139370	200	ENSMUSE00002199113	19	102731613	102732010	398	56.099	200
lastz_13	-	ENSE00003790928	14	35208105	35208206	102	ENSMUSE00000429028	5	102661675	102661881	207	59.102	102
lastz_13	-	ENSE00003790928	14	35208105	35208206	102	ENSMUSE00000429038	6	102662828	102662917	90	59.102	90
lastz_13	-	ENSE00003790928	14	35208105	35208206	102	ENSMUSE00000429046	7	102664579	102664680	102	59.102	102
lastz_13	-	ENSE00000710485	15	35209965	35210054	90	ENSMUSE00000429028	5	102661675	102661881	207	59.102	90
lastz_13	-	ENSE00000710485	15	35209965	35210054	90	ENSMUSE00000429038	6	102662828	102662917	90	59.102	90
lastz_13	-	ENSE00000710485	15	35209965	35210054	90	ENSMUSE00000429046	7	102664579	102664680	102	59.102	90
lastz_13	-	ENSE00003608645	16	35211246	35211449	204	ENSMUSE00000429028	5	102661675	102661881	207	59.102	204
lastz_13	-	ENSE00003608645	16	35211246	35211449	204	ENSMUSE00000429038	6	102662828	102662917	90	59.102	90
lastz_13	-	ENSE00003608645	16	35211246	35211449	204	ENSMUSE00000429046	7	102664579	102664680	102	59.102	102
lastz_16	-	ENSE00004802752	20	35229129	35232402	3274	ENSMUSE00000494459	1	102641486	102644682	3050	59.77	3050
