human_exon_id	human_exon_index	human_start	human_end	mouse_exon_id	mouse_exon_index	mouse_start	mouse_end	link_count	max_human_overlap_bp	max_mouse_overlap_bp	max_min_overlap_bp	max_link_identity	strands	human_pair_rank	mouse_pair_rank	reciprocal_best	human_exon_role	human_common	mouse_exon_role	mouse_common
ENSE00004802753	1	35138721	35139370	ENSMUSE00002199113	19	102731613	102732010	1	650	398	398	56.099	-	1	1	TRUE	variable	FALSE	common	TRUE
ENSE00003896435	2	35139171	35139370	ENSMUSE00002199113	19	102731613	102732010	1	200	398	200	56.099	-	1	2	FALSE	variable	FALSE	common	TRUE
ENSE00003561898	3	35176575	35176740	ENSMUSE00001292286	17	102691905	102692041	1	166	137	137	54.681	-	2	1	FALSE	common	TRUE	common	TRUE
ENSE00003561898	3	35176575	35176740	ENSMUSE00001268849	18	102695626	102695791	1	166	166	166	54.681	-	1	1	TRUE	common	TRUE	common	TRUE
ENSE00003658180	4	35180274	35180407	ENSMUSE00001292286	17	102691905	102692041	1	134	137	134	54.681	-	2	2	FALSE	common	TRUE	common	TRUE
ENSE00003658180	4	35180274	35180407	ENSMUSE00001268849	18	102695626	102695791	1	134	166	134	54.681	-	1	2	FALSE	common	TRUE	common	TRUE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000429052	8	102668158	102668283	1	69	126	69	53.681	-	6	9	FALSE	common	TRUE	variable	FALSE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000429059	9	102669703	102669822	1	69	120	69	53.681	-	7	9	FALSE	common	TRUE	variable	FALSE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000166711	10	102672606	102672722	1	69	117	69	53.681	-	3	9	FALSE	common	TRUE	variable	FALSE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000166716	11	102673181	102673294	1	69	114	69	53.681	-	4	9	FALSE	common	TRUE	variable	FALSE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000166719	12	102675630	102675755	1	69	126	69	53.681	-	5	9	FALSE	common	TRUE	variable	FALSE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000166710	13	102676748	102676864	1	69	117	69	53.681	-	2	9	FALSE	common	TRUE	variable	FALSE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000166708	14	102679002	102679127	1	69	126	69	53.681	-	1	9	FALSE	common	TRUE	variable	FALSE
ENSE00003504402	5	35186832	35186900	ENSMUSE00000429126	15	102683360	102683581	1	69	222	69	53.681	-	8	9	FALSE	common	TRUE	common	TRUE
ENSE00003504402	5	35186832	35186900	ENSMUSE00001251397	16	102686244	102686312	1	69	69	69	53.681	-	9	5	FALSE	common	TRUE	common	TRUE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000429052	8	102668158	102668283	1	231	126	126	53.681	-	4	4	FALSE	common	TRUE	variable	FALSE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000429059	9	102669703	102669822	1	231	120	120	53.681	-	5	4	FALSE	common	TRUE	variable	FALSE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000166711	10	102672606	102672722	1	231	117	117	53.681	-	7	5	FALSE	common	TRUE	variable	FALSE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000166716	11	102673181	102673294	1	231	114	114	53.681	-	8	5	FALSE	common	TRUE	variable	FALSE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000166719	12	102675630	102675755	1	231	126	126	53.681	-	3	4	FALSE	common	TRUE	variable	FALSE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000166710	13	102676748	102676864	1	231	117	117	53.681	-	6	5	FALSE	common	TRUE	variable	FALSE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000166708	14	102679002	102679127	1	231	126	126	53.681	-	2	4	FALSE	common	TRUE	variable	FALSE
ENSE00003639932	6	35189835	35190065	ENSMUSE00000429126	15	102683360	102683581	1	231	222	222	53.681	-	1	1	TRUE	common	TRUE	common	TRUE
ENSE00003639932	6	35189835	35190065	ENSMUSE00001251397	16	102686244	102686312	1	231	69	69	53.681	-	9	6	FALSE	common	TRUE	common	TRUE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000429052	8	102668158	102668283	1	129	126	126	53.681	-	4	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000429059	9	102669703	102669822	1	129	120	120	53.681	-	5	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000166711	10	102672606	102672722	1	129	117	117	53.681	-	7	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000166716	11	102673181	102673294	1	129	114	114	53.681	-	8	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000166719	12	102675630	102675755	1	129	126	126	53.681	-	3	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000166710	13	102676748	102676864	1	129	117	117	53.681	-	6	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000166708	14	102679002	102679127	1	129	126	126	53.681	-	2	2	FALSE	variable	FALSE	variable	FALSE
ENSE00000710505	7	35196746	35196874	ENSMUSE00000429126	15	102683360	102683581	1	129	222	129	53.681	-	1	3	FALSE	variable	FALSE	common	TRUE
