species	display_name	scientific_name	assembly	ensembl_release	source_url	source_file	gtf_scope	seqname	source	feature	genomic_start	genomic_end	score	genomic_strand	phase	gene_id	gene_version	gene_name	gene_source	gene_biotype	hox_group	hox_number	source_seqname	window_start	window_end	window_padding_bp	display_orientation	xmin	xmax	y	strand	track	individual	label	gene	genomic_xmin	genomic_xmax
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27092993	27096000	.	-	.	ENSG00000105991	10	HOXA1	ensembl_havana	protein_coding	HOXA1	1	7	26992993	27300091	100000	reversed_to_hoxa13_left	204092	207099	0.4	+	human	human	HOXA1	HOXA1	27092993	27096000
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27100354	27102686	.	-	.	ENSG00000105996	7	HOXA2	ensembl_havana	protein_coding	HOXA2	2	7	26992993	27300091	100000	reversed_to_hoxa13_left	197406	199738	0.4	+	human	human	HOXA2	HOXA2	27100354	27102686
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27106184	27152610	.	-	.	ENSG00000105997	24	HOXA3	ensembl_havana	protein_coding	HOXA3	3	7	26992993	27300091	100000	reversed_to_hoxa13_left	147482	193908	0.4	+	human	human	HOXA3	HOXA3	27106184	27152610
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27128507	27130780	.	-	.	ENSG00000197576	15	HOXA4	ensembl_havana	protein_coding	HOXA4	4	7	26992993	27300091	100000	reversed_to_hoxa13_left	169312	171585	0.4	+	human	human	HOXA4	HOXA4	27128507	27130780
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27141052	27143681	.	-	.	ENSG00000106004	5	HOXA5	ensembl_havana	protein_coding	HOXA5	5	7	26992993	27300091	100000	reversed_to_hoxa13_left	156411	159040	0.4	+	human	human	HOXA5	HOXA5	27141052	27143681
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27145396	27150603	.	-	.	ENSG00000106006	6	HOXA6	ensembl_havana	protein_coding	HOXA6	6	7	26992993	27300091	100000	reversed_to_hoxa13_left	149489	154696	0.4	+	human	human	HOXA6	HOXA6	27145396	27150603
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27153716	27157936	.	-	.	ENSG00000122592	8	HOXA7	ensembl_havana	protein_coding	HOXA7	7	7	26992993	27300091	100000	reversed_to_hoxa13_left	142156	146376	0.4	+	human	human	HOXA7	HOXA7	27153716	27157936
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27162438	27175180	.	-	.	ENSG00000078399	19	HOXA9	ensembl_havana	protein_coding	HOXA9	9	7	26992993	27300091	100000	reversed_to_hoxa13_left	124912	137654	0.4	+	human	human	HOXA9	HOXA9	27162438	27175180
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27170605	27180261	.	-	.	ENSG00000253293	6	HOXA10	ensembl_havana	protein_coding	HOXA10	10	7	26992993	27300091	100000	reversed_to_hoxa13_left	119831	129487	0.4	+	human	human	HOXA10	HOXA10	27170605	27180261
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27181157	27185232	.	-	.	ENSG00000005073	6	HOXA11	ensembl_havana	protein_coding	HOXA11	11	7	26992993	27300091	100000	reversed_to_hoxa13_left	114860	118935	0.4	+	human	human	HOXA11	HOXA11	27181157	27185232
human	Human	Homo sapiens	GRCh38	115	https://ftp.ensembl.org/pub/release-115/gtf/homo_sapiens/Homo_sapiens.GRCh38.115.chr.gtf.gz	Homo_sapiens.GRCh38.115.chr.gtf.gz	chr	7	ensembl_havana	gene	27193503	27200091	.	-	.	ENSG00000106031	9	HOXA13	ensembl_havana	protein_coding	HOXA13	13	7	26992993	27300091	100000	reversed_to_hoxa13_left	100001	106589	0.4	+	human	human	HOXA13	HOXA13	27193503	27200091
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	88009205	88011922	.	+	.	ENSMMUG00000012807	4	HOXA1	ensembl	protein_coding	HOXA1	1	3	87804691	88111922	100000	forward_hoxa13_left	204515	207232	0.4	+	macaque	macaque	HOXA1	HOXA1	88009205	88011922
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	88002613	88004381	.	+	.	ENSMMUG00000054649	1	HOXA2	ensembl	protein_coding	HOXA2	2	3	87804691	88111922	100000	forward_hoxa13_left	197923	199691	0.4	+	macaque	macaque	HOXA2	HOXA2	88002613	88004381
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87994291	87997137	.	+	.	ENSMMUG00000051572	1	HOXA3	ensembl	protein_coding	HOXA3	3	3	87804691	88111922	100000	forward_hoxa13_left	189601	192447	0.4	+	macaque	macaque	HOXA3	HOXA3	87994291	87997137
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87974157	87975831	.	+	.	ENSMMUG00000040874	2	HOXA4	ensembl	protein_coding	HOXA4	4	3	87804691	88111922	100000	forward_hoxa13_left	169467	171141	0.4	+	macaque	macaque	HOXA4	HOXA4	87974157	87975831
macaque	Rhesus macaque	Macaca mulatta	Mmul_10	115	https://ftp.ensembl.org/pub/release-115/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.115.chr.gtf.gz	Macaca_mulatta.Mmul_10.115.chr.gtf.gz	chr	3	ensembl	gene	87961116	87963229	.	+	.	ENSMMUG00000061471	1	HOXA5	ensembl	protein_coding	HOXA5	5	3	87804691	88111922	100000	forward_hoxa13_left	156426	158539	0.4	+	macaque	macaque	HOXA5	HOXA5	87961116	87963229
