gene_id	hox_number	gene_symbol	release63_biomart_IPR001356	mapping_method	mapping_note	seqname	gene_start	gene_end	strand	transcript_id	annotation_status
BL06042	1	Hox1	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	2301945	2306012	-	BL06042_cuf1	protein_coding_gene_model
BL11262	2	Hox2	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	2220392	2223140	-	BL11262_cuf5	protein_coding_gene_model
BL11259	3	Hox3	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	2169412	2172244	-	BL11259_evm0	protein_coding_gene_model
BL01764	4	Hox4	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	2159523	2162957	-	BL01764_evm0	protein_coding_gene_model
BL22794	5	Hox5	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	2145142	2147852	-	BL22794_evm0	protein_coding_gene_model
BL02721	6	Hox6	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	2107271	2108002	-	BL02721_evm0	protein_coding_gene_model
BL02747	7	Hox7	FALSE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	2035776	2088188	-	BL02747_evm1	protein_coding_gene_model
BL01142	8	Hox8	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	1999276	2001682	-	BL01142_evm0	protein_coding_gene_model
BL02690	9	Hox9	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	1979963	1982042	-	BL02690_evm0	protein_coding_gene_model
BL01497	10	Hox10	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	1940645	1941701	-	BL01497_evm0	protein_coding_gene_model
BL11265	11	Hox11	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	1930281	1933462	-	BL11265_evm0	protein_coding_gene_model
BL14546	12	Hox12	FALSE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model in the single BraLan2 Hox cluster; assigned by physical order.	Sc0000000	1879312	1925129	-	BL14546_evm1	protein_coding_gene_model
	13	Hox13		manual_collinear_annotation_gap	No release-63 BraLan2 gene model lies between the collinearly mapped Hox12 and Hox14 models; this is an annotation gap, not inferred loss.						annotation_gap_no_gene_model
BL01409	14	Hox14	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Same-strand model after the unannotated Hox13 position; assigned Hox14 by physical order.	Sc0000000	1815964	1816977	-	BL01409_evm0	protein_coding_gene_model
BL12289	15	Hox15	TRUE	manual_collinear_order_on_BraLan2_Sc0000000	Terminal same-strand model; assigned Hox15 by physical order and the documented 15-gene Branchiostoma complement.	Sc0000000	1807373	1809616	-	BL12289_cuf1	protein_coding_gene_model
