species	gene_id	gene_symbol	exon_id	seqname	start	end	strand	genomic_exon_index
human	ENSG00000026508	CD44	ENSE00004802753	11	35138721	35139370	1	1
human	ENSG00000026508	CD44	ENSE00002155345	11	35139171	35139370	1	2
human	ENSG00000026508	CD44	ENSE00003896435	11	35139171	35139370	1	3
human	ENSG00000026508	CD44	ENSE00002162131	11	35139182	35139370	1	4
human	ENSG00000026508	CD44	ENSE00002188577	11	35139262	35139370	1	5
human	ENSG00000026508	CD44	ENSE00002177526	11	35139304	35139370	1	6
human	ENSG00000026508	CD44	ENSE00002198941	11	35139306	35139370	1	7
human	ENSG00000026508	CD44	ENSE00004770999	11	35143464	35143817	1	8
human	ENSG00000026508	CD44	ENSE00003561898	11	35176575	35176740	1	9
human	ENSG00000026508	CD44	ENSE00003485510	11	35176575	35176740	1	10
human	ENSG00000026508	CD44	ENSE00002179732	11	35176575	35177110	1	11
human	ENSG00000026508	CD44	ENSE00004366179	11	35176602	35176740	1	12
human	ENSG00000026508	CD44	ENSE00002153584	11	35176628	35176740	1	13
human	ENSG00000026508	CD44	ENSE00002141013	11	35176641	35176740	1	14
human	ENSG00000026508	CD44	ENSE00002191813	11	35176662	35176740	1	15
human	ENSG00000026508	CD44	ENSE00002197227	11	35176699	35176740	1	16
human	ENSG00000026508	CD44	ENSE00002193843	11	35180274	35180329	1	17
human	ENSG00000026508	CD44	ENSE00003658180	11	35180274	35180407	1	18
human	ENSG00000026508	CD44	ENSE00003533978	11	35180274	35180407	1	19
human	ENSG00000026508	CD44	ENSE00004737384	11	35180274	35180887	1	20
human	ENSG00000026508	CD44	ENSE00002142692	11	35180279	35180407	1	21
human	ENSG00000026508	CD44	ENSE00002166630	11	35180358	35180407	1	22
human	ENSG00000026508	CD44	ENSE00004366182	11	35186802	35186900	1	23
human	ENSG00000026508	CD44	ENSE00003504402	11	35186832	35186900	1	24
human	ENSG00000026508	CD44	ENSE00003620943	11	35186832	35186900	1	25
human	ENSG00000026508	CD44	ENSE00003506110	11	35186832	35186900	1	26
human	ENSG00000026508	CD44	ENSE00002195645	11	35186843	35186900	1	27
human	ENSG00000026508	CD44	ENSE00002153314	11	35186862	35186900	1	28
human	ENSG00000026508	CD44	ENSE00001647548	11	35189835	35189972	1	29
human	ENSG00000026508	CD44	ENSE00003639932	11	35189835	35190065	1	30
human	ENSG00000026508	CD44	ENSE00003477603	11	35189835	35190065	1	31
human	ENSG00000026508	CD44	ENSE00002190362	11	35189835	35190429	1	32
human	ENSG00000026508	CD44	ENSE00002184001	11	35189882	35190065	1	33
human	ENSG00000026508	CD44	ENSE00002152444	11	35189891	35190065	1	34
human	ENSG00000026508	CD44	ENSE00002194976	11	35189900	35190065	1	35
human	ENSG00000026508	CD44	ENSE00002156359	11	35189926	35190065	1	36
human	ENSG00000026508	CD44	ENSE00002164148	11	35190010	35190065	1	37
human	ENSG00000026508	CD44	ENSE00000710505	11	35196746	35196874	1	38
human	ENSG00000026508	CD44	ENSE00002155909	11	35197162	35197793	1	39
human	ENSG00000026508	CD44	ENSE00002147765	11	35197857	35198246	1	40
human	ENSG00000026508	CD44	ENSE00002153468	11	35197869	35198555	1	41
human	ENSG00000026508	CD44	ENSE00003678600	11	35198121	35198246	1	42
human	ENSG00000026508	CD44	ENSE00003637485	11	35198121	35198246	1	43
human	ENSG00000026508	CD44	ENSE00004737386	11	35198121	35198549	1	44
human	ENSG00000026508	CD44	ENSE00004466519	11	35198145	35198246	1	45
human	ENSG00000026508	CD44	ENSE00002151908	11	35198148	35198246	1	46
human	ENSG00000026508	CD44	ENSE00002169416	11	35200539	35200636	1	47
human	ENSG00000026508	CD44	ENSE00004768694	11	35200646	35202537	1	48
human	ENSG00000026508	CD44	ENSE00003692209	11	35201082	35201195	1	49
human	ENSG00000026508	CD44	ENSE00003687007	11	35201082	35201195	1	50
human	ENSG00000026508	CD44	ENSE00002149457	11	35201083	35201195	1	51
human	ENSG00000026508	CD44	ENSE00002157331	11	35201144	35201195	1	52
human	ENSG00000026508	CD44	ENSE00002193053	11	35201621	35201787	1	53
human	ENSG00000026508	CD44	ENSE00002145160	11	35201668	35201731	1	54
human	ENSG00000026508	CD44	ENSE00003619384	11	35201668	35201787	1	55
human	ENSG00000026508	CD44	ENSE00004366172	11	35201668	35201787	1	56
human	ENSG00000026508	CD44	ENSE00002159834	11	35201671	35201753	1	57
human	ENSG00000026508	CD44	ENSE00002164519	11	35201671	35201767	1	58
human	ENSG00000026508	CD44	ENSE00000824450	11	35201671	35201787	1	59
human	ENSG00000026508	CD44	ENSE00004466517	11	35201677	35201787	1	60
