species	gene_id	gene_symbol	transcript_id	transcript_name	transcript_biotype	is_canonical	exon_rank	exon_id	seqname	start	end	strand	selection_order	selection_reason	gene_start	gene_end	ucsc_chrom	xmin	xmax	y	ymin	chr	track	individual	gene	transcript	transcripts	feature	type	isoforms_with_exon	selected_isoform_count	present_in_all_selected_isoforms	exon_role
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	1	ENSE00003896435	11	35139171	35139370	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35139171	35139370	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	1	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	2	ENSE00003561898	11	35176575	35176740	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35176575	35176740	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	3	ENSE00003658180	11	35180274	35180407	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35180274	35180407	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	4	ENSE00003504402	11	35186832	35186900	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35186832	35186900	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	5	ENSE00003639932	11	35189835	35190065	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35189835	35190065	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	6	ENSE00000710505	11	35196746	35196874	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35196746	35196874	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	7	ENSE00003678600	11	35198121	35198246	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35198121	35198246	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	8	ENSE00003692209	11	35201082	35201195	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35201082	35201195	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	9	ENSE00000824450	11	35201671	35201787	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35201671	35201787	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	1	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	10	ENSE00003469853	11	35204512	35204640	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35204512	35204640	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	11	ENSE00000710490	11	35206112	35206243	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35206112	35206243	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	12	ENSE00003790928	11	35208105	35208206	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35208105	35208206	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	13	ENSE00000710485	11	35209965	35210054	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35209965	35210054	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	14	ENSE00003608645	11	35211246	35211449	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35211246	35211449	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	15	ENSE00003526469	11	35214852	35214914	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35214852	35214914	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	16	ENSE00003632343	11	35219316	35219387	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35219316	35219387	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	17	ENSE00003534676	11	35221654	35221732	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35221654	35221732	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000428726	CD44-208	protein_coding	1	18	ENSE00004802752	11	35229129	35232402	+	1	RefSeq-backed Ensembl canonical transcript (NM_000610)	35138721	35232402	chr11	35229129	35232402	1	0.2	chr11	human	human	CD44	CD44-208	CD44-208	exon	exon	4	4	TRUE	common
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35138721	35139370	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	+	2	RefSeq-backed shorter CD44 splice isoform (NM_001001391)	35138721	35232402	chr11	35176575	35176740	2	0.9199999999999999	chr11	human	human	CD44	CD44-201	CD44-201	exon	exon	4	4	TRUE	common
