species	matrix_row	matrix_column	cluster_family	cluster	hox_number	slot	gene_symbol	gene_id	seqname	gene_start	gene_end	strand	protein_coding_transcript_count	eligible_safe_protein_coding_transcript_count	excluded_transcript_count	excluded_transcript_ids	transcript_with_cds_count	transcript_with_usable_cds_count	transcript_with_complete_start_codon_count	transcript_with_complete_stop_codon_count	exclusion_reason	annotation_gap_class	candidate_gene_id	candidate_transcript_id	candidate_protein_id	candidate_model_assessment	mapping_method	mapping_note	source_database	release	assembly	source_url	source_file
gar	gar	C	C	C	6	Hox6	hoxc6a	ENSLOCG00000006348	LG4	15860619	15900850	+	1	0	1	ENSLOCT00000007673	0	0	0	0	all_source_coding_transcripts_excluded_as_unsafe_merged_models	source_annotation_gap_no_safe_gene_model	ENSLOCG00000006348	ENSLOCT00000007673	ENSLOCP00000007664	unsafe_merged_two_homeodomain_transcript_not_assigned	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name. No coherent alternative transcript remains after excluding: 469-aa, 4-CDS merged prediction with HoxC9-like and HoxC6-like homeodomains; no coherent alternative transcript is available.	Ensembl	116	LepOcu1	https://ftp.ensembl.org/pub/release-116/gtf/lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz	Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz
chicken	chicken	C	C	C	4	Hox4	HOXC4		34			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model					literature_inventory_plus_release_locus_audit	The published 39-gene avian complement expects this slot, but the Ensembl-116 GRCg7b locus has no protein-coding gene model for it.	Ensembl	116	bGalGal1.mat.broiler.GRCg7b	https://ftp.ensembl.org/pub/release-116/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz
chicken	chicken	C	C	C	5	Hox5	HOXC5		34			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model					literature_inventory_plus_release_locus_audit	The published 39-gene avian complement expects this slot, but the Ensembl-116 GRCg7b locus has no protein-coding gene model for it.	Ensembl	116	bGalGal1.mat.broiler.GRCg7b	https://ftp.ensembl.org/pub/release-116/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz
chicken	chicken	C	C	C	6	Hox6	HOXC6		34			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model					literature_inventory_plus_release_locus_audit	The published 39-gene avian complement expects this slot, but the Ensembl-116 GRCg7b locus has no protein-coding gene model for it.	Ensembl	116	bGalGal1.mat.broiler.GRCg7b	https://ftp.ensembl.org/pub/release-116/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz
chicken	chicken	D	D	D	1	Hox1	HOXD1		7			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model					literature_inventory_plus_release_locus_audit	The published 39-gene avian complement expects this slot, but the Ensembl-116 GRCg7b locus has no protein-coding gene model for it.	Ensembl	116	bGalGal1.mat.broiler.GRCg7b	https://ftp.ensembl.org/pub/release-116/gtf/gallus_gallus/Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz	Gallus_gallus.bGalGal1.mat.broiler.GRCg7b.116.chr.gtf.gz
gar	gar	A	A	A	2	Hox2	hoxa2		LG11			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model	ENSLOCG00000011801	ENSLOCT00000014539	ENSLOCP00000014510	unsafe_merged_three_homeodomain_transcript_not_assigned	literature_inventory_plus_release_locus_audit	Braasch et al. (2016) expect this Hox2 member. The longest source transcript (ENSLOCT00000014539; ENSLOCP00000014510) merges Hox4-like, Hox3-like, and Hox2-like homeodomains and cannot supply separate Hox2/Hox4 boxes. A shorter coherent isoform from the same source gene is used only for Hox3.	Ensembl	116	LepOcu1	https://ftp.ensembl.org/pub/release-116/gtf/lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz	Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz
gar	gar	A	A	A	4	Hox4	hoxa4		LG11			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model	ENSLOCG00000011801	ENSLOCT00000014539	ENSLOCP00000014510	unsafe_merged_three_homeodomain_transcript_not_assigned	literature_inventory_plus_release_locus_audit	Braasch et al. (2016) expect this Hox4 member. The longest source transcript (ENSLOCT00000014539; ENSLOCP00000014510) merges Hox4-like, Hox3-like, and Hox2-like homeodomains and cannot supply separate Hox2/Hox4 boxes. A shorter coherent isoform from the same source gene is used only for Hox3.	Ensembl	116	LepOcu1	https://ftp.ensembl.org/pub/release-116/gtf/lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz	Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz
gar	gar	A	A	A	6	Hox6	hoxa6		LG11			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model	ENSLOCG00000011824	ENSLOCT00000014567	ENSLOCP00000014538	unsafe_long_multiexon_prediction_not_assignable_to_one_slot	literature_inventory_plus_release_locus_audit	Braasch et al. (2016) expect this functional HoxA member. Nearby ENSLOCG00000011824 is a 13-CDS, 673-aa chimeric prediction spanning several expected positions and is not safely assignable to one slot.	Ensembl	116	LepOcu1	https://ftp.ensembl.org/pub/release-116/gtf/lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz	Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz
gar	gar	A	A	A	7	Hox7	hoxa7		LG11			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model	ENSLOCG00000011824	ENSLOCT00000014567	ENSLOCP00000014538	unsafe_long_multiexon_prediction_not_assignable_to_one_slot	literature_inventory_plus_release_locus_audit	Braasch et al. (2016) expect this functional HoxA member. Nearby ENSLOCG00000011824 is a 13-CDS, 673-aa chimeric prediction spanning several expected positions and is not safely assignable to one slot.	Ensembl	116	LepOcu1	https://ftp.ensembl.org/pub/release-116/gtf/lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz	Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz
gar	gar	A	A	A	9	Hox9	hoxa9		LG11			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model	ENSLOCG00000011824	ENSLOCT00000014567	ENSLOCP00000014538	unsafe_long_multiexon_prediction_not_assignable_to_one_slot	literature_inventory_plus_release_locus_audit	Braasch et al. (2016) expect this functional HoxA member. Nearby ENSLOCG00000011824 is a 13-CDS, 673-aa chimeric prediction spanning several expected positions and is not safely assignable to one slot.	Ensembl	116	LepOcu1	https://ftp.ensembl.org/pub/release-116/gtf/lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz	Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz
gar	gar	B	B	B	2	Hox2	hoxb2		LG15			-	0				0	0	0	0	expected_functional_member_without_safe_source_gene_model	source_annotation_gap_no_safe_gene_model	ENSLOCG00000013436	ENSLOCT00000016594	ENSLOCP00000016564	unsafe_merged_three_homeodomain_transcript_not_assigned	literature_inventory_plus_release_locus_audit	Braasch et al. (2016) expect this Hox2 member. The longest source transcript (ENSLOCT00000016594; ENSLOCP00000016564) merges Hox4-like, Hox3-like, and Hox2-like homeodomains and cannot supply separate Hox2/Hox4 boxes. A shorter coherent isoform from the same source gene is used only for Hox3.	Ensembl	116	LepOcu1	https://ftp.ensembl.org/pub/release-116/gtf/lepisosteus_oculatus/Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz	Lepisosteus_oculatus.LepOcu1.116.chr.gtf.gz
