reference_species	query_species	query_gene	query_gene_name	reference_gene	reference_gene_id	reference_gene_name	hox_group	hox_number
human	macaque	ENSMMUG00000012807	HOXA1	HOXA1	ENSG00000105991	HOXA1	HOXA1	1
human	macaque	ENSMMUG00000054649	HOXA2	HOXA2	ENSG00000105996	HOXA2	HOXA2	2
human	macaque	ENSMMUG00000051572	HOXA3	HOXA3	ENSG00000105997	HOXA3	HOXA3	3
human	macaque	ENSMMUG00000040874	HOXA4	HOXA4	ENSG00000197576	HOXA4	HOXA4	4
human	macaque	ENSMMUG00000061471	HOXA5	HOXA5	ENSG00000106004	HOXA5	HOXA5	5
human	macaque	ENSMMUG00000061724	HOXA6	HOXA6	ENSG00000106006	HOXA6	HOXA6	6
human	macaque	ENSMMUG00000013458	HOXA7	HOXA7	ENSG00000122592	HOXA7	HOXA7	7
human	macaque	ENSMMUG00000013459	HOXA9	HOXA9	ENSG00000078399	HOXA9	HOXA9	9
human	macaque	ENSMMUG00000051571	HOXA10	HOXA10	ENSG00000253293	HOXA10	HOXA10	10
human	macaque	ENSMMUG00000055708	HOXA11	HOXA11	ENSG00000005073	HOXA11	HOXA11	11
human	macaque	ENSMMUG00000013463	HOXA13	HOXA13	ENSG00000106031	HOXA13	HOXA13	13
human	mouse	ENSMUSG00000029844	Hoxa1	HOXA1	ENSG00000105991	HOXA1	HOXA1	1
human	mouse	ENSMUSG00000014704	Hoxa2	HOXA2	ENSG00000105996	HOXA2	HOXA2	2
human	mouse	ENSMUSG00000079560	Hoxa3	HOXA3	ENSG00000105997	HOXA3	HOXA3	3
human	mouse	ENSMUSG00000000942	Hoxa4	HOXA4	ENSG00000197576	HOXA4	HOXA4	4
human	mouse	ENSMUSG00000038253	Hoxa5	HOXA5	ENSG00000106004	HOXA5	HOXA5	5
human	mouse	ENSMUSG00000043219	Hoxa6	HOXA6	ENSG00000106006	HOXA6	HOXA6	6
human	mouse	ENSMUSG00000038236	Hoxa7	HOXA7	ENSG00000122592	HOXA7	HOXA7	7
human	mouse	ENSMUSG00000038227	Hoxa9	HOXA9	ENSG00000078399	HOXA9	HOXA9	9
human	mouse	ENSMUSG00000000938	Hoxa10	HOXA10	ENSG00000253293	HOXA10	HOXA10	10
human	mouse	ENSMUSG00000038210	Hoxa11	HOXA11	ENSG00000005073	HOXA11	HOXA11	11
human	mouse	ENSMUSG00000038203	Hoxa13	HOXA13	ENSG00000106031	HOXA13	HOXA13	13
human	chicken	ENSGALG00010001788	HOXA1	HOXA1	ENSG00000105991	HOXA1	HOXA1	1
human	chicken	ENSGALG00010001790	HOXA2	HOXA2	ENSG00000105996	HOXA2	HOXA2	2
human	chicken	ENSGALG00010001801	HOXA3	HOXA3	ENSG00000105997	HOXA3	HOXA3	3
human	chicken	ENSGALG00010001808	HOXA4	HOXA4	ENSG00000197576	HOXA4	HOXA4	4
human	chicken	ENSGALG00010001813	HOXA5	HOXA5	ENSG00000106004	HOXA5	HOXA5	5
human	chicken	ENSGALG00010001819	HOXA6	HOXA6	ENSG00000106006	HOXA6	HOXA6	6
human	chicken	ENSGALG00010001826	HOXA7	HOXA7	ENSG00000122592	HOXA7	HOXA7	7
human	chicken	ENSGALG00010001840	HOXA9	HOXA9	ENSG00000078399	HOXA9	HOXA9	9
human	chicken	ENSGALG00010001844	HOXA10	HOXA10	ENSG00000253293	HOXA10	HOXA10	10
human	chicken	ENSGALG00010001848	HOXA11	HOXA11	ENSG00000005073	HOXA11	HOXA11	11
human	chicken	ENSGALG00010001321	HOXA13	HOXA13	ENSG00000106031	HOXA13	HOXA13	13
human	anole	ENSACAG00000010967	HOXA1	HOXA1	ENSG00000105991	HOXA1	HOXA1	1
human	anole	ENSACAG00000010430	HOXA2	HOXA2	ENSG00000105996	HOXA2	HOXA2	2
human	anole	ENSACAG00000041421	HOXA3	HOXA3	ENSG00000105997	HOXA3	HOXA3	3
human	anole	ENSACAG00000010390	HOXA4	HOXA4	ENSG00000197576	HOXA4	HOXA4	4
human	anole	ENSACAG00000010364	HOXA5	HOXA5	ENSG00000106004	HOXA5	HOXA5	5
human	anole	ENSACAG00000010349	HOXA6	HOXA6	ENSG00000106006	HOXA6	HOXA6	6
human	anole	ENSACAG00000010322	HOXA7	HOXA7	ENSG00000122592	HOXA7	HOXA7	7
human	anole	ENSACAG00000007286	hoxa9	HOXA9	ENSG00000078399	HOXA9	HOXA9	9
human	anole	ENSACAG00000010315	hoxa10	HOXA10	ENSG00000253293	HOXA10	HOXA10	10
human	anole	ENSACAG00000010304	HOXA11	HOXA11	ENSG00000005073	HOXA11	HOXA11	11
