track	tspecies	tchr	tstart	tend	qspecies	qchr	qstart	qend	strand	hox_group	hox_number	group	target_gene_id	query_gene_id	target_gene_name	query_gene_name
link_human_macaque	human	7	204092	207099	macaque	3	204515	207232	+	HOXA1	1	human_macaque_HOXA1	ENSG00000105991	ENSMMUG00000012807	HOXA1	HOXA1
link_human_macaque	human	7	197406	199738	macaque	3	197923	199691	+	HOXA2	2	human_macaque_HOXA2	ENSG00000105996	ENSMMUG00000054649	HOXA2	HOXA2
link_human_macaque	human	7	147482	193908	macaque	3	189601	192447	+	HOXA3	3	human_macaque_HOXA3	ENSG00000105997	ENSMMUG00000051572	HOXA3	HOXA3
link_human_macaque	human	7	169312	171585	macaque	3	169467	171141	+	HOXA4	4	human_macaque_HOXA4	ENSG00000197576	ENSMMUG00000040874	HOXA4	HOXA4
link_human_macaque	human	7	156411	159040	macaque	3	156426	158539	+	HOXA5	5	human_macaque_HOXA5	ENSG00000106004	ENSMMUG00000061471	HOXA5	HOXA5
link_human_macaque	human	7	149489	154696	macaque	3	149801	156405	+	HOXA6	6	human_macaque_HOXA6	ENSG00000106006	ENSMMUG00000061724	HOXA6	HOXA6
link_human_macaque	human	7	142156	146376	macaque	3	143069	147074	+	HOXA7	7	human_macaque_HOXA7	ENSG00000122592	ENSMMUG00000013458	HOXA7	HOXA7
link_human_macaque	human	7	124912	137654	macaque	3	134857	138697	+	HOXA9	9	human_macaque_HOXA9	ENSG00000078399	ENSMMUG00000013459	HOXA9	HOXA9
link_human_macaque	human	7	119831	129487	macaque	3	125955	128363	+	HOXA10	10	human_macaque_HOXA10	ENSG00000253293	ENSMMUG00000051571	HOXA10	HOXA10
link_human_macaque	human	7	114860	118935	macaque	3	115091	119155	+	HOXA11	11	human_macaque_HOXA11	ENSG00000005073	ENSMMUG00000055708	HOXA11	HOXA11
link_human_macaque	human	7	100001	106589	macaque	3	100001	102098	+	HOXA13	13	human_macaque_HOXA13	ENSG00000106031	ENSMMUG00000013463	HOXA13	HOXA13
link_macaque_mouse	macaque	3	204515	207232	mouse	6	202492	205219	+	HOXA1	1	macaque_mouse_HOXA1	ENSMMUG00000012807	ENSMUSG00000029844	HOXA1	Hoxa1
link_macaque_mouse	macaque	3	197923	199691	mouse	6	195978	198392	+	HOXA2	2	macaque_mouse_HOXA2	ENSMMUG00000054649	ENSMUSG00000014704	HOXA2	Hoxa2
link_macaque_mouse	macaque	3	189601	192447	mouse	6	147473	191747	+	HOXA3	3	macaque_mouse_HOXA3	ENSMMUG00000051572	ENSMUSG00000079560	HOXA3	Hoxa3
link_macaque_mouse	macaque	3	169467	171141	mouse	6	169056	171138	+	HOXA4	4	macaque_mouse_HOXA4	ENSMMUG00000040874	ENSMUSG00000000942	HOXA4	Hoxa4
link_macaque_mouse	macaque	3	156426	158539	mouse	6	156222	159055	+	HOXA5	5	macaque_mouse_HOXA5	ENSMMUG00000061471	ENSMUSG00000038253	HOXA5	Hoxa5
link_macaque_mouse	macaque	3	149801	156405	mouse	6	152087	154521	+	HOXA6	6	macaque_mouse_HOXA6	ENSMMUG00000061724	ENSMUSG00000043219	HOXA6	Hoxa6
link_macaque_mouse	macaque	3	143069	147074	mouse	6	138955	146318	+	HOXA7	7	macaque_mouse_HOXA7	ENSMMUG00000013458	ENSMUSG00000038236	HOXA7	Hoxa7
link_macaque_mouse	macaque	3	134857	138697	mouse	6	129720	137709	+	HOXA9	9	macaque_mouse_HOXA9	ENSMMUG00000013459	ENSMUSG00000038227	HOXA9	Hoxa9
link_macaque_mouse	macaque	3	125955	128363	mouse	6	119955	129612	+	HOXA10	10	macaque_mouse_HOXA10	ENSMMUG00000051571	ENSMUSG00000000938	HOXA10	Hoxa10
link_macaque_mouse	macaque	3	115091	119155	mouse	6	114999	118703	+	HOXA11	11	macaque_mouse_HOXA11	ENSMMUG00000055708	ENSMUSG00000038210	HOXA11	Hoxa11
link_macaque_mouse	macaque	3	100001	102098	mouse	6	100001	103115	+	HOXA13	13	macaque_mouse_HOXA13	ENSMMUG00000013463	ENSMUSG00000038203	HOXA13	Hoxa13
link_mouse_chicken	mouse	6	202492	205219	chicken	2	203718	206168	+	HOXA1	1	mouse_chicken_HOXA1	ENSMUSG00000029844	ENSGALG00010001788	Hoxa1	HOXA1
link_mouse_chicken	mouse	6	195978	198392	chicken	2	197613	199885	+	HOXA2	2	mouse_chicken_HOXA2	ENSMUSG00000014704	ENSGALG00010001790	Hoxa2	HOXA2
link_mouse_chicken	mouse	6	147473	191747	chicken	2	174797	193576	+	HOXA3	3	mouse_chicken_HOXA3	ENSMUSG00000079560	ENSGALG00010001801	Hoxa3	HOXA3
link_mouse_chicken	mouse	6	169056	171138	chicken	2	171090	173400	+	HOXA4	4	mouse_chicken_HOXA4	ENSMUSG00000000942	ENSGALG00010001808	Hoxa4	HOXA4
link_mouse_chicken	mouse	6	156222	159055	chicken	2	157430	160199	+	HOXA5	5	mouse_chicken_HOXA5	ENSMUSG00000038253	ENSGALG00010001813	Hoxa5	HOXA5
link_mouse_chicken	mouse	6	152087	154521	chicken	2	153379	156529	+	HOXA6	6	mouse_chicken_HOXA6	ENSMUSG00000043219	ENSGALG00010001819	Hoxa6	HOXA6
link_mouse_chicken	mouse	6	138955	146318	chicken	2	143070	148358	+	HOXA7	7	mouse_chicken_HOXA7	ENSMUSG00000038236	ENSGALG00010001826	Hoxa7	HOXA7
link_mouse_chicken	mouse	6	129720	137709	chicken	2	121510	139455	+	HOXA9	9	mouse_chicken_HOXA9	ENSMUSG00000038227	ENSGALG00010001840	Hoxa9	HOXA9
link_mouse_chicken	mouse	6	119955	129612	chicken	2	125718	131299	+	HOXA10	10	mouse_chicken_HOXA10	ENSMUSG00000000938	ENSGALG00010001844	Hoxa10	HOXA10
link_mouse_chicken	mouse	6	114999	118703	chicken	2	116123	120220	+	HOXA11	11	mouse_chicken_HOXA11	ENSMUSG00000038210	ENSGALG00010001848	Hoxa11	HOXA11
link_mouse_chicken	mouse	6	100001	103115	chicken	2	100001	102969	+	HOXA13	13	mouse_chicken_HOXA13	ENSMUSG00000038203	ENSGALG00010001321	Hoxa13	HOXA13
link_chicken_anole	chicken	2	203718	206168	anole	GL343275.1	237155	241597	+	HOXA1	1	chicken_anole_HOXA1	ENSGALG00010001788	ENSACAG00000010967	HOXA1	HOXA1
link_chicken_anole	chicken	2	197613	199885	anole	GL343275.1	226749	229034	+	HOXA2	2	chicken_anole_HOXA2	ENSGALG00010001790	ENSACAG00000010430	HOXA2	HOXA2
link_chicken_anole	chicken	2	174797	193576	anole	GL343275.1	198597	221384	+	HOXA3	3	chicken_anole_HOXA3	ENSGALG00010001801	ENSACAG00000041421	HOXA3	HOXA3
link_chicken_anole	chicken	2	171090	173400	anole	GL343275.1	186567	188631	+	HOXA4	4	chicken_anole_HOXA4	ENSGALG00010001808	ENSACAG00000010390	HOXA4	HOXA4
link_chicken_anole	chicken	2	157430	160199	anole	GL343275.1	168482	170870	+	HOXA5	5	chicken_anole_HOXA5	ENSGALG00010001813	ENSACAG00000010364	HOXA5	HOXA5
link_chicken_anole	chicken	2	153379	156529	anole	GL343275.1	163294	166294	+	HOXA6	6	chicken_anole_HOXA6	ENSGALG00010001819	ENSACAG00000010349	HOXA6	HOXA6
link_chicken_anole	chicken	2	143070	148358	anole	GL343275.1	151205	154448	+	HOXA7	7	chicken_anole_HOXA7	ENSGALG00010001826	ENSACAG00000010322	HOXA7	HOXA7
link_chicken_anole	chicken	2	121510	139455	anole	GL343275.1	133805	137341	+	HOXA9	9	chicken_anole_HOXA9	ENSGALG00010001840	ENSACAG00000007286	HOXA9	hoxa9
link_chicken_anole	chicken	2	125718	131299	anole	GL343275.1	119730	123546	+	HOXA10	10	chicken_anole_HOXA10	ENSGALG00010001844	ENSACAG00000010315	HOXA10	hoxa10
link_chicken_anole	chicken	2	116123	120220	anole	GL343275.1	100001	103783	+	HOXA11	11	chicken_anole_HOXA11	ENSGALG00010001848	ENSACAG00000010304	HOXA11	HOXA11
