species	species_row	display_name	scientific_name	assembly	assembly_accession	source_database	release	matrix_row	matrix_column	cluster_column	cluster_family	cluster	cluster_name	hox_number	hox_slot	hox_slot_label	slot	gene_symbol	gene_id	gene_version	gene_stable_id_version	gene_source	gene_biotype	seqname	gene_start	gene_end	strand	transcript_id	transcript_version	transcript_stable_id_version	transcript_name	transcript_source	transcript_biotype	transcript_start	transcript_end	transcript_span_bp	protein_id	protein_version	protein_stable_id_version	cds_piece_count	cds_length_bp	initiation_codon_center	coding_midpoint	stop_codon_center	genomic_x_start	genomic_x_middle	genomic_x_end	x	initiation_anchor_source	stop_anchor_source	initiation_anchor_fallback	stop_anchor_fallback	any_anchor_fallback	coding_transcript_candidate_count	protein_coding_transcript_count	eligible_safe_protein_coding_transcript_count	curated_transcript_exclusion_applied	unsafe_merged_transcript_exclusion_applied	excluded_transcript_count	excluded_transcript_ids	excluded_protein_ids	excluded_transcript_assessments	excluded_transcript_reason	selected_is_ensembl_canonical	transcript_selection_rule	codon_anchor_rule	midpoint_rule	mapping_method	mapping_note	xref_conflict_flag	xref_conflict_note	source_url	source_file	source_sha256
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	13	3	Hox13	Hox13	HOXA13	ENSG00000106031	9	ENSG00000106031.9	ensembl_havana	protein_coding	7	27193503	27200091	-	ENST00000649031	1	ENST00000649031.1	HOXA13-202	ensembl_havana	protein_coding	27194364	27200091	5728	ENSP00000497112	1	ENSP00000497112.1	2	1164	27200076	27199137.5	27198199	27200076	27199137.5	27198199	27199137.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	1	1	1	FALSE	FALSE	0					TRUE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	11	5	Hox11	Hox11	HOXA11	ENSG00000005073	7	ENSG00000005073.7	ensembl_havana	protein_coding	7	27181157	27185253	-	ENST00001135396	1	ENST00001135396.1	HOXA11-203	ensembl_havana	protein_coding	27181157	27185253	4097	ENSP00000801216	1	ENSP00000801216.1	2	939	27185143	27183970	27182797	27185143	27183970	27182797	27183970	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	3	3	3	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	10	6	Hox10	Hox10	HOXA10	ENSG00000253293	7	ENSG00000253293.7	ensembl_havana	protein_coding	7	27170592	27180261	-	ENST00000396344	5	ENST00000396344.5	HOXA10-202	havana	protein_coding	27170592	27180261	9670	ENSP00000379633	4	ENSP00000379633.4	2	282	27179654	27175777	27171900	27179654	27175777	27171900	27175777	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	3	3	3	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	9	7	Hox9	Hox9	HOXA9	ENSG00000078399	20	ENSG00000078399.20	ensembl_havana	protein_coding	7	27162438	27175180	-	ENST00001143300	1	ENST00001143300.1	HOXA9-209	ensembl_havana	protein_coding	27162438	27165565	3128	ENSP00000808070	1	ENSP00000808070.1	2	816	27165456	27164530	27163604	27165456	27164530	27163604	27164530	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	5	5	5	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	7	9	Hox7	Hox7	HOXA7	ENSG00000122592	9	ENSG00000122592.9	ensembl_havana	protein_coding	7	27153716	27157936	-	ENST00001136817	1	ENST00001136817.1	HOXA7-205	ensembl_havana	protein_coding	27153716	27156692	2977	ENSP00000802270	1	ENSP00000802270.1	2	690	27156544	27155727	27154910	27156544	27155727	27154910	27155727	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	4	4	4	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	6	10	Hox6	Hox6	HOXA6	ENSG00000106006	7	ENSG00000106006.7	ensembl_havana	protein_coding	7	27144103	27150603	-	ENST00001140137	1	ENST00001140137.1	HOXA6-203	ensembl_havana	protein_coding	27144103	27147774	3672	ENSP00000801795	1	ENSP00000801795.1	2	699	27147748	27146703.5	27145659	27147748	27146703.5	27145659	27146703.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	5	11	Hox5	Hox5	HOXA5	ENSG00000106004	6	ENSG00000106004.6	ensembl_havana	protein_coding	7	27141052	27143719	-	ENST00001138441	1	ENST00001138441.1	HOXA5-203	ensembl_havana	protein_coding	27141052	27143719	2668	ENSP00000801794	1	ENSP00000801794.1	2	810	27143606	27142721	27141836	27143606	27142721	27141836	27142721	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	4	12	Hox4	Hox4	HOXA4	ENSG00000197576	16	ENSG00000197576.16	ensembl_havana	protein_coding	7	27127887	27130780	-	ENST00000610970	2	ENST00000610970.2	HOXA4-203	ensembl	protein_coding	27127887	27130780	2894	ENSP00000479166	1	ENSP00000479166.1	2	960	27130732	27129979	27129226	27130732	27129979	27129226	27129979	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	3	3	3	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	3	13	Hox3	Hox3	HOXA3	ENSG00000105997	25	ENSG00000105997.25	ensembl_havana	protein_coding	7	27106184	27152610	-	ENST00000851228	2	ENST00000851228.2	HOXA3-207	havana_tagene	protein_coding	27106184	27152610	46427	ENSP00000521287	1	ENSP00000521287.1	2	1329	27110639	27109277.5	27107916	27110639	27109277.5	27107916	27109277.5	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	15	15	15	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
human	human	Human	Homo sapiens	GRCh38	GCA_000001405.29	Ensembl	116	human	A	A	A	A	A	2	14	Hox2	Hox2	HOXA2	ENSG00000105996	8	ENSG00000105996.8	ensembl_havana	protein_coding	7	27099978	27102686	-	ENST00001141882	1	ENST00001141882.1	HOXA2-203	ensembl_havana	protein_coding	27099978	27102683	2706	ENSP00000801793	1	ENSP00000801793.1	2	1128	27102499	27101613	27100727	27102499	27101613	27100727	27101613	explicit_start_codon	explicit_stop_codon	FALSE	FALSE	FALSE	2	2	2	FALSE	FALSE	0					FALSE	greatest_genomic_span_with_usable_CDS_and_strand;ties_Ensembl_canonical_then_transcript_id	explicit_codon_middle_when_complete_else_terminal_CDS_positional_proxy_in_transcription_order	arithmetic_genomic_midpoint_between_codon_centers	source_gene_symbol	Hox family and number parsed from the Ensembl GTF gene_name.	FALSE		https://ftp.ensembl.org/pub/release-116/gtf/homo_sapiens/Homo_sapiens.GRCh38.116.chr.gtf.gz	Homo_sapiens.GRCh38.116.chr.gtf.gz	f101fe4b1a350deaf26ab04bb565ba3e638e467fdc14c5c20b989b03edc87e05
