species	exon_id	seqname	start	end	strand	isoforms_with_exon	selected_isoform_count	present_in_all_selected_isoforms
human	ENSE00004802753	11	35138721	35139370	1	3	4	FALSE
human	ENSE00003896435	11	35139171	35139370	1	1	4	FALSE
human	ENSE00003561898	11	35176575	35176740	1	4	4	TRUE
human	ENSE00003658180	11	35180274	35180407	1	4	4	TRUE
human	ENSE00003504402	11	35186832	35186900	1	4	4	TRUE
human	ENSE00003639932	11	35189835	35190065	1	4	4	TRUE
human	ENSE00000710505	11	35196746	35196874	1	2	4	FALSE
human	ENSE00003678600	11	35198121	35198246	1	2	4	FALSE
human	ENSE00003692209	11	35201082	35201195	1	2	4	FALSE
human	ENSE00004366172	11	35201668	35201787	1	1	4	FALSE
human	ENSE00000824450	11	35201671	35201787	1	1	4	FALSE
human	ENSE00003469853	11	35204512	35204640	1	2	4	FALSE
human	ENSE00000710490	11	35206112	35206243	1	2	4	FALSE
human	ENSE00003790928	11	35208105	35208206	1	2	4	FALSE
human	ENSE00000710485	11	35209965	35210054	1	2	4	FALSE
human	ENSE00003608645	11	35211246	35211449	1	3	4	FALSE
human	ENSE00003526469	11	35214852	35214914	1	4	4	TRUE
human	ENSE00003632343	11	35219316	35219387	1	4	4	TRUE
human	ENSE00003534676	11	35221654	35221732	1	4	4	TRUE
human	ENSE00004802752	11	35229129	35232402	1	4	4	TRUE
mouse	ENSMUSE00000494459	2	102641486	102644682	-1	4	4	TRUE
mouse	ENSMUSE00000428727	2	102652553	102652631	-1	4	4	TRUE
mouse	ENSMUSE00000429014	2	102654606	102654677	-1	4	4	TRUE
mouse	ENSMUSE00000429020	2	102658887	102658955	-1	4	4	TRUE
mouse	ENSMUSE00000429028	2	102661675	102661881	-1	3	4	FALSE
mouse	ENSMUSE00000429038	2	102662828	102662917	-1	3	4	FALSE
mouse	ENSMUSE00000429046	2	102664579	102664680	-1	2	4	FALSE
mouse	ENSMUSE00000429052	2	102668158	102668283	-1	2	4	FALSE
mouse	ENSMUSE00000429059	2	102669703	102669822	-1	2	4	FALSE
mouse	ENSMUSE00000166711	2	102672606	102672722	-1	2	4	FALSE
mouse	ENSMUSE00000166716	2	102673181	102673294	-1	2	4	FALSE
mouse	ENSMUSE00000166719	2	102675630	102675755	-1	1	4	FALSE
mouse	ENSMUSE00000166710	2	102676748	102676864	-1	1	4	FALSE
mouse	ENSMUSE00000166708	2	102679002	102679127	-1	1	4	FALSE
mouse	ENSMUSE00000429126	2	102683360	102683581	-1	4	4	TRUE
mouse	ENSMUSE00001251397	2	102686244	102686312	-1	4	4	TRUE
mouse	ENSMUSE00001292286	2	102691905	102692041	-1	4	4	TRUE
mouse	ENSMUSE00001268849	2	102695626	102695791	-1	4	4	TRUE
mouse	ENSMUSE00002199113	2	102731613	102732010	-1	4	4	TRUE
