species	matrix_row	matrix_column	cluster	hox_number	slot	slot_state	expected_functional_member	gene_symbol	gene_id	transcript_id	state_note
human	human	A	A	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	A	A	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	A	A	13	Hox13	plotted_gene_model	TRUE	HOXA13	ENSG00000106031	ENST00000649031	
human	human	A	A	12	Hox12	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	A	A	11	Hox11	plotted_gene_model	TRUE	HOXA11	ENSG00000005073	ENST00001135396	
human	human	A	A	10	Hox10	plotted_gene_model	TRUE	HOXA10	ENSG00000253293	ENST00000396344	
human	human	A	A	9	Hox9	plotted_gene_model	TRUE	HOXA9	ENSG00000078399	ENST00001143300	
human	human	A	A	8	Hox8	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	A	A	7	Hox7	plotted_gene_model	TRUE	HOXA7	ENSG00000122592	ENST00001136817	
human	human	A	A	6	Hox6	plotted_gene_model	TRUE	HOXA6	ENSG00000106006	ENST00001140137	
human	human	A	A	5	Hox5	plotted_gene_model	TRUE	HOXA5	ENSG00000106004	ENST00001138441	
human	human	A	A	4	Hox4	plotted_gene_model	TRUE	HOXA4	ENSG00000197576	ENST00000610970	
human	human	A	A	3	Hox3	plotted_gene_model	TRUE	HOXA3	ENSG00000105997	ENST00000851228	
human	human	A	A	2	Hox2	plotted_gene_model	TRUE	HOXA2	ENSG00000105996	ENST00001141882	
human	human	A	A	1	Hox1	plotted_gene_model	TRUE	HOXA1	ENSG00000105991	ENST00000643460	
human	human	B	B	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	B	B	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	B	B	13	Hox13	plotted_gene_model	TRUE	HOXB13	ENSG00000159184	ENST00001143312	
human	human	B	B	12	Hox12	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	B	B	11	Hox11	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	B	B	10	Hox10	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	B	B	9	Hox9	plotted_gene_model	TRUE	HOXB9	ENSG00000170689	ENST00001142771	
human	human	B	B	8	Hox8	plotted_gene_model	TRUE	HOXB8	ENSG00000120068	ENST00000884865	
human	human	B	B	7	Hox7	plotted_gene_model	TRUE	HOXB7	ENSG00000260027	ENST00001137302	
human	human	B	B	6	Hox6	plotted_gene_model	TRUE	HOXB6	ENSG00000108511	ENST00000484302	
human	human	B	B	5	Hox5	plotted_gene_model	TRUE	HOXB5	ENSG00000120075	ENST00001143579	
human	human	B	B	4	Hox4	plotted_gene_model	TRUE	HOXB4	ENSG00000182742	ENST00001143498	
human	human	B	B	3	Hox3	plotted_gene_model	TRUE	HOXB3	ENSG00000120093	ENST00000866120	
human	human	B	B	2	Hox2	plotted_gene_model	TRUE	HOXB2	ENSG00000173917	ENST00001136010	
human	human	B	B	1	Hox1	plotted_gene_model	TRUE	HOXB1	ENSG00000120094	ENST00000239174	
human	human	C	C	15	Hox15	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	C	C	14	Hox14	biologically_not_retained	FALSE				Not part of the curated functional complement for this cluster.
human	human	C	C	13	Hox13	plotted_gene_model	TRUE	HOXC13	ENSG00000123364	ENST00001142801	
human	human	C	C	12	Hox12	plotted_gene_model	TRUE	HOXC12	ENSG00000123407	ENST00000243103	
human	human	C	C	11	Hox11	plotted_gene_model	TRUE	HOXC11	ENSG00000123388	ENST00000546378	
human	human	C	C	10	Hox10	plotted_gene_model	TRUE	HOXC10	ENSG00000180818	ENST00001125459	
human	human	C	C	9	Hox9	plotted_gene_model	TRUE	HOXC9	ENSG00000180806	ENST00000508190	
