track	tspecies	tchr	tstart	tend	qspecies	qchr	qstart	qend	strand	group	score	alignment_length	identity
link_human_mouse	human	chr11	35137488	35140465	mouse	chr2	102730609	102733282	-	lastz_1	1766	3148	56.099
link_human_mouse	human	chr11	35143413	35144569	mouse	chr2	102726454	102727553	-	lastz_2	719	1229	58.503
link_human_mouse	human	chr11	35145166	35156317	mouse	chr2	102715311	102726235	-	lastz_3	6863	12156	56.458
link_human_mouse	human	chr11	35157282	35157508	mouse	chr2	102713972	102714161	-	lastz_4	138	239	57.741
link_human_mouse	human	chr11	35158782	35158999	mouse	chr2	102712560	102712767	-	lastz_5	163	218	74.771
link_human_mouse	human	chr11	35161865	35163162	mouse	chr2	102707940	102709188	-	lastz_6	778	1385	56.173
link_human_mouse	human	chr11	35163151	35169118	mouse	chr2	102701679	102707426	-	lastz_7	3565	6405	55.66
link_human_mouse	human	chr11	35170924	35171561	mouse	chr2	102699147	102699694	-	lastz_8	396	641	61.778
link_human_mouse	human	chr11	35172997	35173290	mouse	chr2	102698796	102699081	-	lastz_9	209	296	70.608
link_human_mouse	human	chr11	35173278	35174335	mouse	chr2	102697405	102698419	-	lastz_10	649	1120	57.946
link_human_mouse	human	chr11	35181655	35181775	mouse	chr2	102734509	102734623	+	lastz_11	92	121	76.033
link_human_mouse	human	chr11	35206456	35206997	mouse	chr2	102666362	102666903	-	lastz_12	327	581	56.282
link_human_mouse	human	chr11	35207000	35212749	mouse	chr2	102660547	102665773	-	lastz_13	3542	5993	59.102
link_human_mouse	human	chr11	35225176	35225509	mouse	chr2	102648379	102648693	-	lastz_14	214	334	64.072
link_human_mouse	human	chr11	35227499	35228733	mouse	chr2	102645499	102646734	-	lastz_15	812	1302	62.366
link_human_mouse	human	chr11	35228765	35232505	mouse	chr2	102641633	102645020	-	lastz_16	2343	3920	59.77
link_human_mouse	human	chr11	35234541	35235812	mouse	chr2	102637343	102638674	-	lastz_17	824	1388	59.366
link_human_mouse	human	chr11	35235802	35236273	mouse	chr2	102636487	102636941	-	lastz_18	316	476	66.387
