species	gene_id	gene_symbol	transcript_id	transcript_name	transcript_biotype	is_canonical	exon_rank	exon_id	seqname	start	end	strand
human	ENSG00000026508	CD44	ENST00000526025	CD44-222	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	1
human	ENSG00000026508	CD44	ENST00000526025	CD44-222	protein_coding	0	2	ENSE00002179732	11	35176575	35177110	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	6	ENSE00003678600	11	35198121	35198246	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	7	ENSE00003692209	11	35201082	35201195	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	8	ENSE00000824450	11	35201671	35201787	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	9	ENSE00003469853	11	35204512	35204640	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	10	ENSE00000710490	11	35206112	35206243	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	11	ENSE00003790928	11	35208105	35208206	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	12	ENSE00000710485	11	35209965	35210054	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	13	ENSE00003608645	11	35211246	35211449	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	14	ENSE00003526469	11	35214852	35214914	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	15	ENSE00003632343	11	35219316	35219387	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	16	ENSE00003534676	11	35221654	35221732	1
human	ENSG00000026508	CD44	ENST00000415148	CD44-206	protein_coding	0	17	ENSE00004802752	11	35229129	35232402	1
human	ENSG00000026508	CD44	ENST00000528086	CD44-227	protein_coding_CDS_not_defined	0	1	ENSE00002155345	11	35139171	35139370	1
human	ENSG00000026508	CD44	ENST00000528086	CD44-227	protein_coding_CDS_not_defined	0	2	ENSE00003485510	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000528086	CD44-227	protein_coding_CDS_not_defined	0	3	ENSE00003533978	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000528086	CD44-227	protein_coding_CDS_not_defined	0	4	ENSE00002150529	11	35208137	35208206	1
human	ENSG00000026508	CD44	ENST00000528086	CD44-227	protein_coding_CDS_not_defined	0	5	ENSE00002164541	11	35209965	35209974	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	1	ENSE00004802753	11	35138721	35139370	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	2	ENSE00003561898	11	35176575	35176740	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	3	ENSE00003658180	11	35180274	35180407	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	4	ENSE00003504402	11	35186832	35186900	1
human	ENSG00000026508	CD44	ENST00000263398	CD44-201	protein_coding	0	5	ENSE00003639932	11	35189835	35190065	1
