species	gene_id	gene_symbol	transcript_id	transcript_name	transcript_biotype	is_canonical	exon_rank	exon_id	seqname	chr	start	end	strand	source_database
fission_yeast	SPMIT.01	cox1	SPMIT.01.1	cox1	protein_coding	1	1	SPMIT.01.1:exon:1	mitochondrial	mitochondrial	4885	5288	1	PomBase
fission_yeast	SPMIT.01	cox1	SPMIT.01.1	cox1	protein_coding	1	2	SPMIT.01.1:exon:2	mitochondrial	mitochondrial	6499	6843	1	PomBase
fission_yeast	SPMIT.01	cox1	SPMIT.01.1	cox1	protein_coding	1	3	SPMIT.01.1:exon:3	mitochondrial	mitochondrial	7925	8792	1	PomBase
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	1	Q0045.cds1	17	chrmt	13818	13986	1	SGD
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	2	Q0045.cds2	17	chrmt	16435	16470	1	SGD
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	3	Q0045.cds3	17	chrmt	18954	18991	1	SGD
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	4	Q0045.cds4	17	chrmt	20508	20984	1	SGD
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	5	Q0045.cds5	17	chrmt	21995	22246	1	SGD
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	6	Q0045.cds6	17	chrmt	23612	23746	1	SGD
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	7	Q0045.cds7	17	chrmt	25318	25342	1	SGD
budding_yeast	Q0045	COX1	Q0045.mRNA	COX1	protein_coding	1	8	Q0045.cds8	17	chrmt	26229	26701	1	SGD
