species	display_name	scientific_name	assembly	ensembl_species	gene_id	gene_symbol	seqname	transcript_id	transcript_name	biotype	is_canonical	transcript_start	transcript_end	strand	exon_count	exon_signature
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000526025	CD44-222	protein_coding	0	35138721	35177110	1	2	ENSE00004802753|ENSE00002179732
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000415148	CD44-206	protein_coding	0	35138721	35232402	1	17	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000528086	CD44-227	protein_coding_CDS_not_defined	0	35139171	35209974	1	5	ENSE00002155345|ENSE00003485510|ENSE00003533978|ENSE00002150529|ENSE00002164541
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000263398	CD44-201	protein_coding	0	35138721	35232402	1	9	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000428726	CD44-208	protein_coding	1	35139171	35232402	1	18	ENSE00003896435|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710505|ENSE00003678600|ENSE00003692209|ENSE00000824450|ENSE00003469853|ENSE00000710490|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000526669	CD44-224	protein_coding	0	35138721	35232402	1	6	ENSE00004802753|ENSE00003561898|ENSE00002193843|ENSE00002147699|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000425428	CD44-207	nonsense_mediated_decay	0	35139182	35230027	1	8	ENSE00002162131|ENSE00003561898|ENSE00003620943|ENSE00003477603|ENSE00003473311|ENSE00003515975|ENSE00003466081|ENSE00003649170
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000433892	CD44-209	protein_coding	0	35138721	35232402	1	12	ENSE00004802753|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00003790928|ENSE00000710485|ENSE00003608645|ENSE00003526469|ENSE00003632343|ENSE00003534676|ENSE00004802752
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000525211	CD44-214	protein_coding	0	35139262	35208137	1	7	ENSE00002188577|ENSE00003561898|ENSE00003658180|ENSE00003504402|ENSE00003639932|ENSE00000710490|ENSE00003822403
human	Human	Homo sapiens	GRCh38	homo_sapiens	ENSG00000026508	CD44	11	ENST00000278386	CD44-203	protein_coding	0	35138721	35232402	1	4	ENSE00004802753|ENSE00003561898|ENSE00000993276|ENSE00004802754
