species	matrix_row	matrix_column	cluster_family	cluster	hox_number	gene_symbol	gene_id	transcript_id	protein_id	cds_rank	seqname	start	end	strand	phase	source
human	human	A	A	A	13	HOXA13	ENSG00000106031	ENST00000649031	ENSP00000497112	1	7	27199156	27200077	-	0	ensembl_havana
human	human	A	A	A	13	HOXA13	ENSG00000106031	ENST00000649031	ENSP00000497112	2	7	27198201	27198442	-	2	ensembl_havana
human	human	A	A	A	11	HOXA11	ENSG00000005073	ENST00001135396	ENSP00000801216	1	7	27184436	27185144	-	0	ensembl_havana
human	human	A	A	A	11	HOXA11	ENSG00000005073	ENST00001135396	ENSP00000801216	2	7	27182799	27183028	-	2	ensembl_havana
human	human	A	A	A	10	HOXA10	ENSG00000253293	ENST00000396344	ENSP00000379633	1	7	27179646	27179655	-	0	havana
human	human	A	A	A	10	HOXA10	ENSG00000253293	ENST00000396344	ENSP00000379633	2	7	27171902	27172173	-	2	havana
human	human	A	A	A	9	HOXA9	ENSG00000078399	ENST00001143300	ENSP00000808070	1	7	27164878	27165457	-	0	ensembl_havana
human	human	A	A	A	9	HOXA9	ENSG00000078399	ENST00001143300	ENSP00000808070	2	7	27163606	27163841	-	2	ensembl_havana
human	human	A	A	A	7	HOXA7	ENSG00000122592	ENST00001136817	ENSP00000802270	1	7	27156167	27156545	-	0	ensembl_havana
human	human	A	A	A	7	HOXA7	ENSG00000122592	ENST00001136817	ENSP00000802270	2	7	27154912	27155222	-	2	ensembl_havana
human	human	A	A	A	6	HOXA6	ENSG00000106006	ENST00001140137	ENSP00000801795	1	7	27147308	27147749	-	0	ensembl_havana
human	human	A	A	A	6	HOXA6	ENSG00000106006	ENST00001140137	ENSP00000801795	2	7	27145661	27145917	-	2	ensembl_havana
human	human	A	A	A	5	HOXA5	ENSG00000106004	ENST00001138441	ENSP00000801794	1	7	27143046	27143607	-	0	ensembl_havana
human	human	A	A	A	5	HOXA5	ENSG00000106004	ENST00001138441	ENSP00000801794	2	7	27141838	27142085	-	2	ensembl_havana
human	human	A	A	A	4	HOXA4	ENSG00000197576	ENST00000610970	ENSP00000479166	1	7	27130118	27130733	-	0	ensembl
human	human	A	A	A	4	HOXA4	ENSG00000197576	ENST00000610970	ENSP00000479166	2	7	27129228	27129571	-	2	ensembl
human	human	A	A	A	3	HOXA3	ENSG00000105997	ENST00000851228	ENSP00000521287	1	7	27110115	27110640	-	0	havana_tagene
human	human	A	A	A	3	HOXA3	ENSG00000105997	ENST00000851228	ENSP00000521287	2	7	27107918	27108720	-	2	havana_tagene
human	human	A	A	A	2	HOXA2	ENSG00000105996	ENST00001141882	ENSP00000801793	1	7	27102110	27102500	-	0	ensembl_havana
human	human	A	A	A	2	HOXA2	ENSG00000105996	ENST00001141882	ENSP00000801793	2	7	27100729	27101465	-	2	ensembl_havana
human	human	A	A	A	1	HOXA1	ENSG00000105991	ENST00000643460	ENSP00000494260	1	7	27095261	27095912	-	0	ensembl_havana
human	human	A	A	A	1	HOXA1	ENSG00000105991	ENST00000643460	ENSP00000494260	2	7	27094443	27094795	-	2	ensembl_havana
human	human	B	B	B	13	HOXB13	ENSG00000159184	ENST00001143312	ENSP00000804766	1	17	48727993	48728593	-	0	ensembl_havana
human	human	B	B	B	13	HOXB13	ENSG00000159184	ENST00001143312	ENSP00000804766	2	17	48726793	48727043	-	2	ensembl_havana
human	human	B	B	B	9	HOXB9	ENSG00000170689	ENST00001142771	ENSP00000806053	1	17	48625753	48626269	-	0	ensembl_havana
human	human	B	B	B	9	HOXB9	ENSG00000170689	ENST00001142771	ENSP00000806053	2	17	48622903	48623135	-	2	ensembl_havana
human	human	B	B	B	8	HOXB8	ENSG00000120068	ENST00000884865	ENSP00000554924	1	17	48614281	48614704	-	0	havana_tagene
human	human	B	B	B	8	HOXB8	ENSG00000120068	ENST00000884865	ENSP00000554924	2	17	48613205	48613509	-	2	havana_tagene
human	human	B	B	B	7	HOXB7	ENSG00000260027	ENST00001137302	ENSP00000802200	1	17	48610519	48610918	-	0	ensembl_havana
human	human	B	B	B	7	HOXB7	ENSG00000260027	ENST00001137302	ENSP00000802200	2	17	48607845	48608095	-	2	ensembl_havana
human	human	B	B	B	6	HOXB6	ENSG00000108511	ENST00000484302	ENSP00000420009	1	17	48597736	48598150	-	0	havana
human	human	B	B	B	6	HOXB6	ENSG00000108511	ENST00000484302	ENSP00000420009	2	17	48596416	48596672	-	2	havana
human	human	B	B	B	5	HOXB5	ENSG00000120075	ENST00001143579	ENSP00000802199	1	17	48593121	48593682	-	0	ensembl_havana
human	human	B	B	B	5	HOXB5	ENSG00000120075	ENST00001143579	ENSP00000802199	2	17	48592212	48592456	-	2	ensembl_havana
human	human	B	B	B	4	HOXB4	ENSG00000182742	ENST00001143498	ENSP00000807177	1	17	48577863	48578319	-	0	ensembl_havana
human	human	B	B	B	4	HOXB4	ENSG00000182742	ENST00001143498	ENSP00000807177	2	17	48576725	48577020	-	2	ensembl_havana
human	human	B	B	B	3	HOXB3	ENSG00000120093	ENST00000866120	ENSP00000536179	1	17	48552027	48552474	-	0	havana_tagene
human	human	B	B	B	3	HOXB3	ENSG00000120093	ENST00000866120	ENSP00000536179	2	17	48550337	48551181	-	2	havana_tagene
human	human	B	B	B	2	HOXB2	ENSG00000173917	ENST00001136010	ENSP00000807325	1	17	48544521	48544911	-	0	ensembl_havana
human	human	B	B	B	2	HOXB2	ENSG00000173917	ENST00001136010	ENSP00000807325	2	17	48543071	48543747	-	2	ensembl_havana
human	human	B	B	B	1	HOXB1	ENSG00000120094	ENST00000239174	ENSP00000355140	1	17	48530328	48530904	-	0	ensembl_havana
human	human	B	B	B	1	HOXB1	ENSG00000120094	ENST00000239174	ENSP00000355140	2	17	48529550	48529875	-	2	ensembl_havana
human	human	C	C	C	13	HOXC13	ENSG00000123364	ENST00001142801	ENSP00000802304	1	12	53938907	53939642	+	0	ensembl_havana
human	human	C	C	C	13	HOXC13	ENSG00000123364	ENST00001142801	ENSP00000802304	2	12	53945000	53945253	+	2	ensembl_havana
human	human	C	C	C	12	HOXC12	ENSG00000123407	ENST00000243103	ENSP00000243103	1	12	53954930	53955539	+	0	ensembl_havana
human	human	C	C	C	12	HOXC12	ENSG00000123407	ENST00000243103	ENSP00000243103	2	12	53956328	53956563	+	2	ensembl_havana
human	human	C	C	C	11	HOXC11	ENSG00000123388	ENST00000546378	ENSP00000446680	1	12	53973242	53973923	+	0	ensembl_havana
human	human	C	C	C	11	HOXC11	ENSG00000123388	ENST00000546378	ENSP00000446680	2	12	53975181	53975410	+	2	ensembl_havana
human	human	C	C	C	10	HOXC10	ENSG00000180818	ENST00001125459	ENSP00000795264	1	12	53985260	53986010	+	0	havana_tagene
