species	gene_id	gene_symbol	exon_id	seqname	start	end	strand	genomic_exon_index	isoforms_with_exon	selected_isoform_count	present_in_all_selected_isoforms	exon_role
human	ENSG00000026508	CD44	ENSE00004802753	11	35138721	35139370	+	1	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003896435	11	35139171	35139370	+	2	1	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003561898	11	35176575	35176740	+	3	4	4	TRUE	common
human	ENSG00000026508	CD44	ENSE00003658180	11	35180274	35180407	+	4	4	4	TRUE	common
human	ENSG00000026508	CD44	ENSE00003504402	11	35186832	35186900	+	5	4	4	TRUE	common
human	ENSG00000026508	CD44	ENSE00003639932	11	35189835	35190065	+	6	4	4	TRUE	common
human	ENSG00000026508	CD44	ENSE00000710505	11	35196746	35196874	+	7	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003678600	11	35198121	35198246	+	8	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003692209	11	35201082	35201195	+	9	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00004366172	11	35201668	35201787	+	10	1	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00000824450	11	35201671	35201787	+	11	1	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003469853	11	35204512	35204640	+	12	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00000710490	11	35206112	35206243	+	13	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003790928	11	35208105	35208206	+	14	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00000710485	11	35209965	35210054	+	15	2	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003608645	11	35211246	35211449	+	16	3	4	FALSE	variable
human	ENSG00000026508	CD44	ENSE00003526469	11	35214852	35214914	+	17	4	4	TRUE	common
human	ENSG00000026508	CD44	ENSE00003632343	11	35219316	35219387	+	18	4	4	TRUE	common
human	ENSG00000026508	CD44	ENSE00003534676	11	35221654	35221732	+	19	4	4	TRUE	common
human	ENSG00000026508	CD44	ENSE00004802752	11	35229129	35232402	+	20	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000494459	2	102641486	102644682	-	1	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000428727	2	102652553	102652631	-	2	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429014	2	102654606	102654677	-	3	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429020	2	102658887	102658955	-	4	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429028	2	102661675	102661881	-	5	3	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429038	2	102662828	102662917	-	6	3	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429046	2	102664579	102664680	-	7	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429052	2	102668158	102668283	-	8	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429059	2	102669703	102669822	-	9	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166711	2	102672606	102672722	-	10	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166716	2	102673181	102673294	-	11	2	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166719	2	102675630	102675755	-	12	1	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166710	2	102676748	102676864	-	13	1	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000166708	2	102679002	102679127	-	14	1	4	FALSE	variable
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00000429126	2	102683360	102683581	-	15	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001251397	2	102686244	102686312	-	16	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001292286	2	102691905	102692041	-	17	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00001268849	2	102695626	102695791	-	18	4	4	TRUE	common
mouse	ENSMUSG00000005087	Cd44	ENSMUSE00002199113	2	102731613	102732010	-	19	4	4	TRUE	common
